Title,Address,City,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Views,Area,Road,Road Width,Road Type,Build Area,Posted,Amenities
"Flat System House On Sale At Budhanikantha : House For Sale In Budhanilkantha, Kathmandu","Budhanikantha, Budhanilkantha, Kathmandu",Kathmandu,90000000,6,3,2,10,West,2073,17,1-0-0-0 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,18-0-0-0 Aana,11 hours ago,"['Parking', 'Lawn', 'Garage', 'Frontyard', 'Fencing', 'Balcony', 'Backyard', 'Modular Kitchen', 'Garden', 'Water Supply', 'Drainage', 'Water Tank', 'Wifi', 'Water Well', 'Solar Water', 'TV Cable']"
"21 Aana Beautiful House : House For Sale In Budhanilkantha, Kathmandu","Pasikot, Budhanilkantha, Kathmandu",Kathmandu,80000000,5,3,2,9,East,2073,26,0-21-0-0 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,0-14-0-0 Aana,12 hours ago,"['Parking', 'Garage', 'Fencing', 'Frontyard', 'Balcony', 'Backyard', 'Garden', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Wifi', 'Water Tank', 'Water Well', 'Solar Water', 'TV Cable']"
"Beautiful To Floor House : House For Sale In Dhapasi, Kathmandu","Dhapasi, Dhapasi, Kathmandu",Kathmandu,70000000,5,3,2,12,East,2071,154,1-1-0-0 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,10-1-0-0 Aana,2 days ago,"['Parking', 'Lawn', 'Garage', 'Frontyard', 'Fencing', 'Balcony', 'Backyard', 'Garden', 'Modular Kitchen', 'Water Supply', 'Drainage', 'Wifi', 'Water Tank', 'Water Well', 'Solar Water', 'TV Cable']"
"Modern Architecture Bungalow House : House For Sale In Baluwatar, Kathmandu","baluwatar, Baluwatar, Kathmandu",Kathmandu,130000000,6,4,3,9,West,2017,17,0-10-1-0 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,0-7-1-0 Aana,1 day ago,"['Parking', 'Lawn', 'Garage', 'Frontyard', 'Fencing', 'Balcony', 'Backyard', 'Garden', 'Modular Kitchen', 'Water Supply', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Wifi', 'TV Cable']"
"Modern Bungalow House : House For Sale In Golfutar, Kathmandu","Golfutar, Golfutar, Kathmandu",Kathmandu,100000000,6,3,2,10,East,2070,59,0-19-2-0 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,0-14-2-0 Aana,2 days ago,"['Parking', 'Lawn', 'Garage', 'Balcony', 'Backyard', 'Frontyard', 'Fencing', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Solar Water', 'Water Well']"
"Beautiful Bungalow House : House For Sale In Banasthali, Kathmandu","Banasthali, Banasthali, Kathmandu",Kathmandu,100000000,5,6,3,9,East,2074,92,0-12-3-1 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,0-8-3-1 Aana,3 days ago,"['Parking', 'Lawn', 'Garage', 'Balcony', 'Backyard', 'Frontyard', 'Fencing', 'Modular Kitchen', 'Garden', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Solar Water']"
"House For Sale @ Dadathok Lubhu Lalitpur : House For Sale In Lubhu, Lalitpur","Dadathok, Lubhu, Lalitpur",Lalitpur,11000000,3,4,3,1,South East,2019,317,3-1-1 Aana,11 Feet / Gravelled,11 Feet , Gravelled,N/A Aana,3 days ago,"['Parking', 'Balcony']"
"Modern House : House For Sale In Budhanilkantha, Kathmandu","Hepali, Budhanilkantha, Kathmandu",Kathmandu,50000000,5,4,2,9,East,2073,618,0-8-5-0 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,0-6-5-0 Aana,3 days ago,"['Parking', 'Lawn', 'Garage', 'Frontyard', 'Fencing', 'Balcony', 'Backyard', 'Garden', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Wifi', 'TV Cable', 'Solar Water', 'Water Tank', 'Water Well']"
"Flat System House : House For Sale In Baluwatar, Kathmandu","baluwatar, Baluwatar, Kathmandu",Kathmandu,100000000,10,8,3.5,5,North,2017,110,0-12-3-2 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,0-9-3-2 Aana,4 days ago,"['Lawn', 'Garage', 'Backyard', 'Balcony', 'Fencing', 'Frontyard', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Parking']"
"Residential House Sale : House For Sale In Sukedhara, Kathmandu","Nearby Nilo Pool, Sukedhara, Kathmandu",Kathmandu,32500000,6,4,2.5,1,South East,2065,2.6K,0-4-0-0 Aana,12 Feet / Concrete,12 Feet , Concrete,2394 Aana,1 month ago,"['Balcony', 'Fencing', 'Garden', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking', 'Store Room']"
"Beautiful House For Sale : House For Sale In Lekhnath, Pokhara","4, Lekhnath, Pokhara",Pokhara,32000000,4,5,3,3,South West,2075,922,14 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,7 Aana,3 weeks ago,"['Parking', 'Backyard']"
"House Sale In Budhanilkantha : House For Sale In Chapali, Kathmandu","Budhanilkantha, Chapali, Kathmandu",Kathmandu,39900000,5,4,3,1,North West,2075,592,0-4-2-0 Aana,14 Feet / Paved,14 Feet , Paved,2500 Aana,1 month ago,"['Parking', 'Balcony', 'Internet']"
"Budhanilkantha Mandir 1 Floor Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,15000000,2,2,1,1,South,2074,766,5 Aana,12 Feet / Gravelled,12 Feet , Gravelled,N/A Aana,1 month ago,['Parking']
"House For Sale , Hepali Height : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,52500000,5,5,3,3,South East,2075,872,8 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,N/A Aana,1 month ago,"['Parking', 'Garage', 'Modular Kitchen', 'Microwave', 'Garden', 'Drainage', 'Water Supply', 'Solar Water', 'Water Well']"
"Tokha Grandy Height Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,26500000,6,6,3,1,East,2076,1.1K,4 Aana,13 Feet / Paved,13 Feet , Paved,N/A Aana,1 month ago,['Parking']
"Sitapaila Modern Semi Bungalow : House For Sale In Sitapaila, Kathmandu","NA, Sitapaila, Kathmandu",Kathmandu,25500000,6,6,3,1,East,2076,1.6K,4 Aana,13 Feet / Gravelled,13 Feet , Gravelled,2700 Sq. Feet,1 month ago,['Parking']
