Address,City,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Area,Road Width,Road Type,Build Area,Amenities,Pricepersqft
Budhanilkantha,Kathmandu,90000000,6,3,2.0,10,West,2073.0,5476.0,20.0, Blacktopped,98568.0,16,16435.35427319211
Budhanilkantha,Kathmandu,80000000,5,3,2.0,9,East,2073.0,7187.25,20.0, Blacktopped,7187.25,15,11130.821941632752
Dhapasi,Kathmandu,70000000,5,3,2.0,12,East,2071.0,5818.25,20.0, Blacktopped,55102.25,16,12031.109010441283
Baluwatar,Kathmandu,130000000,6,4,3.0,9,West,2017.0,7067.5,20.0, Blacktopped,7067.5,16,18394.057304563143
Golfutar,Kathmandu,100000000,6,3,2.0,10,East,2070.0,13792.75,20.0, Blacktopped,13792.75,16,7250.185786010767
Other,Kathmandu,100000000,5,6,3.0,9,East,2074.0,15043.0,13.0, Blacktopped,15043.0,16,6647.610184138802
Budhanilkantha,Kathmandu,50000000,5,4,2.0,9,East,2073.0,20963.0,20.0, Blacktopped,20963.0,16,2385.154796546296
Baluwatar,Kathmandu,100000000,10,8,3.5,5,North,2017.0,15044.0,20.0, Blacktopped,15044.0,16,6647.168306301515
Other,Kathmandu,32500000,6,4,2.5,1,South East,2065.0,1369.0,12.0, Concrete,819346.5,13,23739.956172388604
Other,Pokhara,32000000,4,5,3.0,3,South West,2075.0,4791.5,15.0, Blacktopped,4791.5,2,6678.493164979652
Other,Kathmandu,39900000,5,4,3.0,1,North West,2075.0,8659.0,14.0, Paved,855625.0,3,4607.922392886015
Budhanilkantha,Kathmandu,15000000,2,2,1.0,1,South,2074.0,1711.25,12.0, Gravelled,1711.25,1,8765.522279035793
Budhanilkantha,Kathmandu,52500000,5,5,3.0,3,South East,2075.0,2738.0,20.0, Blacktopped,2738.0,9,19174.579985390796
Budhanilkantha,Kathmandu,26500000,6,6,3.0,1,East,2076.0,1369.0,13.0, Paved,1369.0,1,19357.19503287071
Sitapaila,Kathmandu,25500000,6,6,3.0,1,East,2076.0,1369.0,13.0, Gravelled,2700.0,1,18626.73484295106
Other,Kathmandu,33000000,6,4,2.5,1,East,2056.0,2053.5,20.0, Blacktopped,2053.5,12,16070.124178232287
Other,Kathmandu,18500000,4,4,3.0,3,South,2074.0,2053.5,13.0,None,2053.5,1,9009.009009009009
Other,Kathmandu,62000000,7,4,3.0,3,East,2074.0,3422.5,0.0,None,3422.5,0,18115.412710007306
Other,Kathmandu,10500000,0,0,3.0,0,North,2074.0,1369.0,10.0,None,1369.0,0,7669.831994156319
Other,Bhaktapur,20500000,7,3,3.0,1,East,2076.0,8316.75,10.0, Gravelled,8316.75,13,2464.905161270929
Other,Bhaktapur,22000000,0,0,3.0,0,East,2074.0,8316.75,20.0, Blacktopped,8316.75,0,2645.2640755102652
Other,Kathmandu,145000000,95,40,5.0,7,East,2073.0,7187.25,20.0, Blacktopped,7187.25,2,20174.614769209365
Budhanilkantha,Kathmandu,55000000,5,6,3.0,4,South,2071.0,6502.75,20.0, Gravelled,6502.75,2,8457.960093806467
Sitapaila,Kathmandu,24000000,4,4,2.5,1,East,2075.0,1369.0,13.0, Blacktopped,2100.0,9,17531.044558071586
Dhapasi,Kathmandu,37000000,6,6,3.0,3,South East,2074.0,2087.725,32.0,None,2087.725,2,17722.640673460348
Golfutar,Kathmandu,102500000,6,6,3.0,4,East,2070.0,6502.75,13.0, Blacktopped,6502.75,13,15762.56199300296
Imadol,Lalitpur,22000000,7,4,3.5,2,South,2076.0,8659.0,13.0, Gravelled,924075.0,13,2540.709088809331
Other,Kathmandu,58500000,6,6,3.0,2,East,2076.0,2224.625,16.0, Blacktopped,2224.625,2,26296.566837107377
Imadol,Lalitpur,18500000,4,3,2.5,1,East,2076.0,1026.75,13.0, Gravelled,1026.75,7,18018.018018018018
Imadol,Lalitpur,21000000,4,3,2.5,1,East,2076.0,8316.75,13.0, Gravelled,8316.75,10,2525.024799350708
Baluwatar,Kathmandu,130000000,5,6,3.0,3,East,2074.0,3422.5,15.0, Blacktopped,3422.5,17,37983.92987582177
Budhanilkantha,Kathmandu,105000000,8,8,4.0,4,East,2076.0,7187.25,15.0, Blacktopped,7187.25,2,14609.203798392988
Budhanilkantha,Kathmandu,105000000,5,5,3.0,4,South,2070.0,21904.0,15.0, Gravelled,21904.0,19,4793.644996347699
Kapan,Kathmandu,27500000,6,5,3.0,1,East,2076.0,1369.0,16.0, Blacktopped,1369.0,1,20087.65522279036
Other,Kathmandu,40000000,7,7,4.0,2,East,2074.0,2395.75,15.0, Blacktopped,2395.75,1,16696.23291244913
Hattigauda,Kathmandu,26500000,6,6,3.0,2,West,2075.0,1711.25,14.0, Blacktopped,1711.25,1,15485.756026296567
Budhanilkantha,Kathmandu,22500000,6,6,3.0,1,North East,2070.0,1060.975,18.0, Blacktopped,1060.975,1,21206.908739602724
Budhanilkantha,Kathmandu,60000000,6,6,3.0,4,South East,2070.0,3764.75,15.0, Soil Stabilized,3764.75,1,15937.313234610532
Baluwatar,Kathmandu,250000000,6,5,3.0,10,East,2074.0,10267.5,15.0,None,10267.5,8,24348.672997321646
Tokha,Kathmandu,40000000,9,6,4.0,3,East,2069.0,3080.25,13.0, Paved,3080.25,1,12985.958931904877
Other,Kathmandu,30000000,6,5,3.0,1,East,2076.0,1197.875,15.0, Blacktopped,1197.875,9,25044.349368673695
Other,Kathmandu,65000000,6,6,3.0,4,East,2070.0,4107.0,14.0, Gravelled,4107.0,10,15826.637448259069
