,Address,City,Bedroom,Bathroom,Parking,Face,Views,Area,Road Width,Road Type
0, Budhanilkantha,Kathmandu,6,3,10,West,17.0,342250.0,20.0, Blacktopped
1, Budhanilkantha,Kathmandu,5,3,9,East,26.0,718725.0,20.0, Blacktopped
2, Dhapasi,Kathmandu,5,3,12,East,154.0,376475.0,20.0, Blacktopped
3, Baluwatar,Kathmandu,6,4,9,West,17.0,345672.5,20.0, Blacktopped
4, Golfutar,Kathmandu,6,3,10,East,59.0,657120.0,20.0, Blacktopped
5, Banasthali,Kathmandu,5,6,9,East,92.0,421309.75,13.0, Blacktopped
6, Lubhu,Lalitpur,3,4,1,South East,317.0,106439.75,11.0, Gravelled
7, Budhanilkantha,Kathmandu,5,4,9,East,618.0,290912.5,20.0, Blacktopped
8, Baluwatar,Kathmandu,10,8,5,North,110.0,421652.0,20.0, Blacktopped
9, Sukedhara,Kathmandu,6,4,1,South East,2600.0,136900.0,12.0, Concrete
10, Lekhnath,Pokhara,4,5,3,South West,922.0,4791.5,15.0, Blacktopped
11, Chapali,Kathmandu,5,4,1,North West,592.0,143745.0,14.0, Paved
12, Budhanilkantha,Kathmandu,2,2,1,South,766.0,1711.25,12.0, Gravelled
13, Budhanilkantha,Kathmandu,5,5,3,South East,872.0,2738.0,20.0, Blacktopped
14, Budhanilkantha,Kathmandu,6,6,1,East,1100.0,1369.0,13.0, Paved
15, Sitapaila,Kathmandu,6,6,1,East,1600.0,1369.0,13.0, Gravelled
16, Narephate,Kathmandu,6,4,1,East,2800.0,205350.0,20.0, Blacktopped
17, Thankot,Kathmandu,4,4,3,South,404.0,2053.5,13.0,
18, Kalanki,Kathmandu,7,4,3,East,164.0,3422.5,0.0,
19, Kavresthali,Kathmandu,0,0,0,North,460.0,136900.0,10.0,
20, Sipadol,Bhaktapur,7,3,1,East,3200.0,109520.0,10.0, Gravelled
21, Radhe Radhe,Bhaktapur,0,0,0,East,720.0,109520.0,20.0, Blacktopped
22, Balaju,Kathmandu,95,40,7,East,169.0,7187.25,20.0, Blacktopped
23, Budhanilkantha,Kathmandu,5,6,4,South,253.0,6502.75,20.0, Gravelled
24, Sitapaila,Kathmandu,4,4,1,East,510.0,136900.0,13.0, Blacktopped
