Address,City,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Area,Road Width,Road Type,Build Area,Amenities
Budhanilkantha,Kathmandu,90000000,6,3,2.0,10,West,2073.0,5476.0,20.0, Blacktopped,98568.0,16
Budhanilkantha,Kathmandu,80000000,5,3,2.0,9,East,2073.0,7187.25,20.0, Blacktopped,7187.25,15
Dhapasi,Kathmandu,70000000,5,3,2.0,12,East,2071.0,5818.25,20.0, Blacktopped,55102.25,16
Budhanilkantha,Kathmandu,50000000,5,4,2.0,9,East,2073.0,20963.0,20.0, Blacktopped,20963.0,16
Other,Kathmandu,32500000,6,4,2.5,1,South East,2065.0,1369.0,12.0, Concrete,819346.5,13
Other,Kathmandu,39900000,5,4,3.0,1,North West,2075.0,8659.0,14.0, Paved,855625.0,3
Budhanilkantha,Kathmandu,15000000,2,2,1.0,1,South,2074.0,1711.25,12.0, Gravelled,1711.25,1
Budhanilkantha,Kathmandu,52500000,5,5,3.0,3,South East,2075.0,2738.0,20.0, Blacktopped,2738.0,9
Budhanilkantha,Kathmandu,26500000,6,6,3.0,1,East,2076.0,1369.0,13.0, Paved,1369.0,1
Sitapaila,Kathmandu,25500000,6,6,3.0,1,East,2076.0,1369.0,13.0, Gravelled,2700.0,1
Other,Kathmandu,33000000,6,4,2.5,1,East,2056.0,2053.5,20.0, Blacktopped,2053.5,12
Other,Kathmandu,18500000,4,4,3.0,3,South,2074.0,2053.5,13.0,None,2053.5,1
Other,Kathmandu,62000000,7,4,3.0,3,East,2074.0,3422.5,0.0,None,3422.5,0
Other,Kathmandu,10500000,0,0,3.0,0,North,2074.0,1369.0,10.0,None,1369.0,0
Budhanilkantha,Kathmandu,55000000,5,6,3.0,4,South,2071.0,6502.75,20.0, Gravelled,6502.75,2
Sitapaila,Kathmandu,24000000,4,4,2.5,1,East,2075.0,1369.0,13.0, Blacktopped,2100.0,9
Dhapasi,Kathmandu,37000000,6,6,3.0,3,South East,2074.0,2087.725,32.0,None,2087.725,2
Other,Kathmandu,58500000,6,6,3.0,2,East,2076.0,2224.625,16.0, Blacktopped,2224.625,2
Kapan,Kathmandu,27500000,6,5,3.0,1,East,2076.0,1369.0,16.0, Blacktopped,1369.0,1
Other,Kathmandu,40000000,7,7,4.0,2,East,2074.0,2395.75,15.0, Blacktopped,2395.75,1
Hattigauda,Kathmandu,26500000,6,6,3.0,2,West,2075.0,1711.25,14.0, Blacktopped,1711.25,1
Budhanilkantha,Kathmandu,22500000,6,6,3.0,1,North East,2070.0,1060.975,18.0, Blacktopped,1060.975,1
Budhanilkantha,Kathmandu,60000000,6,6,3.0,4,South East,2070.0,3764.75,15.0, Soil Stabilized,3764.75,1
Tokha,Kathmandu,40000000,9,6,4.0,3,East,2069.0,3080.25,13.0, Paved,3080.25,1
Other,Kathmandu,30000000,6,5,3.0,1,East,2076.0,1197.875,15.0, Blacktopped,1197.875,9
Other,Kathmandu,65000000,6,6,3.0,4,East,2070.0,4107.0,14.0, Gravelled,4107.0,10
Budhanilkantha,Kathmandu,33000000,5,6,3.0,2,North,2070.0,1711.25,13.0, Blacktopped,1711.25,2
Budhanilkantha,Kathmandu,30500000,5,5,2.0,1,West,2070.0,1369.0,13.0, Blacktopped,1369.0,1
Other,Kathmandu,14000000,2,2,1.0,1,South West,2076.0,1060.975,13.0, Gravelled,1060.975,1
Budhanilkantha,Kathmandu,28000000,6,6,3.0,1,South East,2076.0,1369.0,13.0, Blacktopped,1369.0,1
Tokha,Kathmandu,41000000,10,5,4.0,3,South East,2075.0,1369.0,26.0, Blacktopped,1369.0,1
Budhanilkantha,Kathmandu,27000000,6,6,3.0,2,East,2076.0,1540.125,14.0, Gravelled,1540.125,2
Tokha,Kathmandu,22000000,5,5,3.0,1,East,2076.0,1060.975,13.0, Soil Stabilized,1060.975,1
Budhanilkantha,Kathmandu,37000000,5,5,3.0,3,South East,2071.0,2738.0,15.0, Blacktopped,2738.0,7
Baluwatar,Kathmandu,46000000,4,3,2.5,1,South West,2074.0,12988.5,13.0, Concrete,12988.5,15
Other,Kathmandu,22500000,5,3,3.0,1,East,2074.0,1369.0,13.0,None,1369.0,9
Other,Kathmandu,31000000,3,4,3.0,1,East,2018.0,1026.75,19.68504, Blacktopped,2000.0,4
Other,Kathmandu,42500000,0,0,3.0,0,West,2074.0,5357.25,29.0,None,5357.25,0
Budhanilkantha,Kathmandu,37500000,5,5,3.0,2,South East,2074.0,1711.25,0.0,None,1711.25,10
Baluwatar,Kathmandu,80000000,4,5,3.0,4,West,2076.0,14018.25,13.0, Gravelled,14018.25,15
Jorpati,Kathmandu,21000000,5,3,3.0,1,South West,2076.0,8316.75,12.0, Blacktopped,8316.75,7
Other,Kathmandu,20000000,7,3,2.5,2,West,2067.0,5015.0,10.0, Gravelled,5015.0,12
Budhanilkantha,Kathmandu,33500000,0,4,3.0,2,South East,2074.0,1369.0,18.0, Blacktopped,1369.0,19
Other,Kathmandu,37000000,0,0,3.0,0,North East,2074.0,1713.25,13.0, Blacktopped,1713.25,0
Other,Kathmandu,36000000,0,0,3.0,0,East,2074.0,9685.75,20.0,None,9685.75,0
Dhapasi,Kathmandu,40000000,8,4,3.0,5,South,2068.0,13673.0,12.0, Concrete,13673.0,12
Other,Kathmandu,37000000,8,5,3.0,2,South,2077.0,5359.25,12.0, Gravelled,5359.25,4
Other,Kathmandu,34000000,6,3,3.0,1,South,2077.0,1369.0,12.0, Gravelled,1369.0,5
Other,Kathmandu,26000000,8,4,3.0,1,South,2075.0,1371.0,16.0, Gravelled,1371.0,11
Other,Kathmandu,22000000,5,3,3.0,1,South West,2074.0,9343.5,10.0,None,9343.5,4
Other,Kathmandu,23000000,7,3,3.0,1,North East,2074.0,1369.0,10.0,None,1369.0,1
Other,Kathmandu,15500000,5,2,3.0,1,North West,2074.0,8318.75,13.0,None,8318.75,1
Other,Kathmandu,57500000,0,0,3.0,0,North East,2074.0,5698.5,12.0, Blacktopped,5698.5,0
Baluwatar,Kathmandu,90000000,5,5,3.0,3,South East,2074.0,3422.5,20.0,None,3422.5,7
Other,Kathmandu,17000000,4,3,2.5,1,North West,2076.0,1369.0,10.0, Blacktopped,1650.0,11
Budhanilkantha,Kathmandu,45000000,4,4,3.0,4,South West,2074.0,3764.75,22.0,None,3764.75,13
Other,Kathmandu,32000000,0,0,3.0,0,South West,2074.0,3422.5,20.0,None,3422.5,0
Other,Kathmandu,15500000,2,1,1.5,2,South West,2076.0,1369.0,20.0, Gravelled,1369.0,0
Budhanilkantha,Kathmandu,3000000,0,0,3.0,0,West,2074.0,4107.0,16.0, Paved,4107.0,0
Other,Kathmandu,6500000,0,0,3.0,0,East,2074.0,6160.5,40.0, Blacktopped,6160.5,0
Other,Kathmandu,2350000,0,0,3.0,0,South,2074.0,1711.25,13.0, Blacktopped,1711.25,0
Golfutar,Kathmandu,4100000,0,0,3.0,0,East,2074.0,1369.0,13.0, Soil Stabilized,1369.0,0
Other,Kathmandu,3500000,0,0,3.0,0,South,2074.0,2087.725,12.0, Paved,2087.725,0
Budhanilkantha,Kathmandu,2800000,0,0,3.0,0,West,2074.0,6160.5,20.0, Blacktopped,6160.5,0
Budhanilkantha,Kathmandu,3500000,0,0,3.0,0,East,2074.0,6160.5,30.0, Blacktopped,6160.5,0
Tokha,Kathmandu,1500000,0,0,3.0,0,East,2074.0,2395.75,58.0, Concrete,2395.75,0
Other,Kathmandu,1100000,0,0,3.0,0,South,2074.0,1369.0,10.0,None,1369.0,0
Chabahil,Kathmandu,8500000,0,0,3.0,0,South,2074.0,9001.25,13.0,None,9001.25,0
Other,Kathmandu,2850000,0,0,3.0,0,South,2074.0,1369.0,10.0,None,1369.0,0
Other,Kathmandu,1450000,0,0,3.0,0,West,2074.0,1711.25,20.0,None,1711.25,0
